item_name,item_type,category_group,order_count,total_quantity,total_revenue,pct_of_orders,pct_of_revenue,avg_price,pct_sold_Afternoon,pct_sold_Evening,pct_sold_Midnight,pct_sold_Morning,pct_sold_Night,pct_sold_Friday,pct_sold_Monday,pct_sold_Saturday,pct_sold_Sunday,pct_sold_Thursday,pct_sold_Tuesday,pct_sold_Wednesday,estimated_cost,estimated_profit_per_item,profit_margin,total_profit,quadrant,predicted_quadrant,cluster,forecast_growth_pct,recommendations
Sandwich,Fastfood,Food,129,1097,65820,12.9,23.914544199396868,60.0,14.728682170542637,22.48062015503876,20.155038759689923,19.379844961240313,23.25581395348837,4.651162790697675,5.426356589147287,6.976744186046512,10.077519379844961,61.240310077519375,5.426356589147287,6.2015503875969,21.066725364510816,38.933274635489184,64.88879105914864,42709.80227513163,Workhorse,Star,1,107.81714285714288,OPTIMIZE: Review recipe cost or increase price
Frankie,Fastfood,Food,139,1150,57500,13.900000000000002,20.891617919558186,50.0,22.302158273381295,20.863309352517987,15.827338129496402,16.546762589928058,24.46043165467626,7.194244604316546,2.877697841726619,4.316546762589928,9.352517985611511,65.46762589928058,5.755395683453238,5.0359712230215825,17.195209774501947,32.80479022549805,65.6095804509961,37725.50875932276,Workhorse,Star,1,46.66666666666666,OPTIMIZE: Review recipe cost or increase price
Cold coffee,Beverages,Drink,161,1361,54440,16.1,19.779820513752135,40.0,21.11801242236025,18.633540372670808,16.149068322981368,19.875776397515526,24.22360248447205,6.832298136645963,6.211180124223603,4.968944099378882,5.590062111801243,68.32298136645963,6.211180124223603,1.8633540372670807,13.74770458596961,26.252295414030392,65.63073853507598,35729.37405849536,Workhorse,Workhorse,1,30.88235294117647,OPTIMIZE: Review recipe cost or increase price
Sugarcane juice,Beverages,Drink,153,1278,31950,15.299999999999999,11.608472913563201,25.0,26.797385620915033,20.915032679738562,18.30065359477124,16.33986928104575,17.647058823529413,7.18954248366013,7.18954248366013,6.535947712418301,5.88235294117647,61.43790849673203,6.535947712418301,5.228758169934641,7.948776972987021,17.05122302701298,68.20489210805192,21791.46302852259,Star,Star,0,72.58064516129032,PROMOTE: Feature prominently on menu and marketing
Panipuri,Fastfood,Food,150,1226,24520,15.0,8.908912545870725,20.0,18.666666666666668,24.0,20.666666666666668,19.333333333333332,17.333333333333336,5.333333333333334,2.666666666666667,8.0,4.666666666666667,64.66666666666666,6.0,8.666666666666668,5.601027472595246,14.398972527404755,71.99486263702377,17653.14031859823,Puzzle,Puzzle,0,-28.57142857142857,REPOSITION: Increase visibility on menu and marketing
Aalopuri,Fastfood,Food,134,1044,20880,13.4,7.586382298441303,20.0,21.641791044776117,14.17910447761194,24.62686567164179,20.149253731343283,19.402985074626866,5.970149253731343,5.223880597014925,5.970149253731343,6.7164179104477615,69.40298507462687,2.9850746268656714,3.731343283582089,5.697415110705851,14.302584889294149,71.51292444647075,14931.898624423091,Puzzle,Puzzle,0,,REPOSITION: Increase visibility on menu and marketing
Vadapav,Fastfood,Food,134,1006,20120,13.4,7.310249609417578,20.0,17.16417910447761,19.402985074626866,24.62686567164179,21.641791044776117,17.16417910447761,4.477611940298507,6.7164179104477615,5.223880597014925,5.223880597014925,63.43283582089553,5.223880597014925,9.701492537313433,5.687367655560575,14.312632344439425,71.56316172219712,14398.508138506062,Puzzle,Puzzle,0,,REPOSITION: Increase visibility on menu and marketing
